LineId,A,B,C,D,E,F,Content,EventId,EventTemplate,ParameterList
37,2019-11-01,07:03:01.585,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/health],methods=[GET]}"" onto public java.util.Map<java.lang.String, java.util.List<works.weave.socks.cart.entities.HealthCheck>> works.weave.socks.cart.controllers.HealthCheckController.getHealth()",3bdf14ba,Mapped <*> <*> <*> <*> <*> <*> <*> <*>,"['', '', '', '', '', '""{[/health],methods=[GET]}"" onto public java.util.Map<java.lang.String, java.util.List<works.weave.socks.cart.entities.HealthCheck>> works.weave.socks.cart.controllers.HealthCheckController.getHealth']"
38,2019-11-01,07:03:01.588,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/error],produces=[text/html]}"" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)",3bdf14ba,Mapped <*> <*> <*> <*> <*> <*> <*> <*>,"['', '', '', '', '', '""{[/error],produces=[text/html]}"" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse']"
39,2019-11-01,07:03:01.588,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/error]}"" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)",6707f21d,"Mapped ""{[/error]}"" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)",[]
40,2019-11-01,07:03:02.471,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerAdapter,Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1b40d5f0: startup date [Fri Nov 01 07:00:57 GMT 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@51521cc1,0b490ca4,Looking for @ControllerAdvice org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1b40d5f0 startup date [Fri Nov 01 07 00 57 GMT 2019]; parent org.springframework.context.annotation.AnnotationConfigApplicationContext@51521cc1,[]
41,2019-11-01,07:03:02.486,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerAdapter,Detected ResponseBodyAdvice bean in org.springframework.boot.actuate.autoconfigure.EndpointWebMvcHypermediaManagementContextConfiguration$ActuatorEndpointLinksAdvice,213fb0f5,Detected <*> <*> in <*>,"['ResponseBodyAdvice bean', 'org.springframework.boot.actuate.autoconfigure.EndpointWebMvcHypermediaManagementContextConfiguration$ActuatorEndpointLinksAdvice']"
42,2019-11-01,07:03:02.894,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],c2a4e265,Mapped URL path <*> onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],['[/webjars/**]']
43,2019-11-01,07:03:02.894,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],c2a4e265,Mapped URL path <*> onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],['[/**]']
44,2019-11-01,07:03:02.894,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path [/browser/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],c2a4e265,Mapped URL path <*> onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],['[/browser/**]']
45,2019-11-01,07:03:02.895,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path [/actuator/] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],c2a4e265,Mapped URL path <*> onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],['[/actuator/]']
46,2019-11-01,07:03:02.895,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path [/actuator/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],c2a4e265,Mapped URL path <*> onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],['[/actuator/**]']
47,2019-11-01,07:03:02.970,INFO,"[carts,,,]",6,--- [           main] .m.m.a.ExceptionHandlerExceptionResolver,Detected @ExceptionHandler methods in repositoryRestExceptionHandler,213fb0f5,Detected <*> <*> in <*>,"['@ExceptionHandler methods', 'repositoryRestExceptionHandler']"
